Node,ST,Phylogroup,fimH,blaCTX-M-1,blaCTX-M-3,blaCTX-M-8,blaCTX-M-14,blaCTX-M-15,blaCTX-M-24,blaCTX-M-27,blaCTX-M-32,blaCTX-M-55,blaCTX-M-101,blaCTX-M-104,blaSHV-12,blaCMY-2,blaIMP-26,blaOXA-181,aac(3)-Iid,aac(3)-IIe,aac(3)-IVa,aac(6')-I,aac(6')-Ib,aac(6')-Ib3,aac(6')-Ib4,aadA1,aadA2,aadA5,ant(2'')-Ia,aph(3')-Ia,aph(3'')-Ib,aph(3')-IIa,aph(3')-IIIa,aph(4)-Ia,aph(6)-Id,armA
P19_14,131,B2,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P19_15,192,B1,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P19_16,131,B2,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
P19_17,977,B1,366,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P19_18,156,B1,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
P19_19,131,B2,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P19_20,131,B2,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P19_21,131,B2,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
P19_22,131,B2,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
P19_24,648,F,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P19_27,131,B2,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
P19_28,131,B2,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
P19_29,131,B2,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P19_30,1611,B1,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
