"ProveAar";"Opplegg";"Mikrobe";Antibiotika;"region";antall;"Andel_R";"Andel_S_I";"antall_R";"antall_S_I"
"2003";Blod;"Enterococcus faecalis";"Ampicillin";"Norge";"179";"0";"100";"0";"179"
"2003";"Blod";"Enterococcus faecalis";"Ampicillin";"Oslo/Akershus";"42";"0";"100";"0";"42"
2003;"Blod";"Enterococcus faecalis";"Ampicillin";Sør;30;"0";"100";"0";"30"
"2003";"Blod";"Enterococcus faecalis";"Ampicillin";Øst;"31";"0";"100";0;"31"
"2003";"Blod";"Enterococcus faecalis";"Ampicillin";"Vest";"40";"0";"100";"0";"40"
"2003";"Blod";"Enterococcus faecalis";"Ampicillin";"Nord";"18";"0";"100";"0";"18"
"2003";"Blod";"Enterococcus faecalis";"Ampicillin";"Midt";"18";"0";"100";"0";"18"
"2003";"Blod";"Enterococcus faecalis";"Linezolid";Sør;"30";"0";"100";"0";"30"
"2003";"Blod";"Enterococcus faecalis";"Linezolid";"Vest";"40";"0";"100";"0";"40"
"2003";"Blod";"Enterococcus faecalis";"Linezolid";"Oslo/Akershus";"42";"0";"100";"0";"42"
"2003";"Blod";"Enterococcus faecalis";"Linezolid";"Midt";"18";"0";"100";"0";"18"
"2003";"Blod";"Enterococcus faecalis";"Linezolid";Øst;"31";"0";"100";"0";"31"
"2003";"Blod";"Enterococcus faecalis";"Linezolid";Nord;"18";"0";"100";"0";"18"
"2003";"Blod";"Enterococcus faecalis";"Linezolid";"Norge";"179";"0";"100";"0";"179"
"2003";"Blod";"Enterococcus faecalis";"Vancomycin";"Norge";"180";"2.22222222222222";"97.7777777777777";"4";"176"
"2003";"Blod";"Enterococcus faecalis";"Vancomycin";Sør;"30";"0";"100";"0";"30"
"2003";"Blod";"Enterococcus faecalis";"Vancomycin";"Vest";"40";"0";"100";"0";"40"
"2003";"Blod";"Enterococcus faecalis";"Vancomycin";"Nord";"19";"0";"100";"0";"19"
"2003";"Blod";"Enterococcus faecalis";"Vancomycin";"Øst";"31";"0";"100";"0";"31"
"2003";"Blod";"Enterococcus faecalis";"Vancomycin";"Oslo/Akershus";"42";"9.52380952380952";"90.4761904761904";"4";"38"
"2003";"Blod";"Enterococcus faecalis";"Vancomycin";"Midt";"18";"0";"100";"0";"18"
"2003";"Blod";"Enterococcus faecium";"Ampicillin";"Oslo/Akershus";"6";"33.3333333333333";"66.6666666666666";"2";"4"
"2003";"Blod";"Enterococcus faecium";"Ampicillin";"Sør";"11";"27.2727272727272";"72.7272727272727";"3";"8"
"2003";"Blod";"Enterococcus faecium";"Ampicillin";"Nord";"11";"72.7272727272727";"27.2727272727272";"8";"3"
"2003";"Blod";"Enterococcus faecium";"Ampicillin";"Vest";"12";"83.3333333333333";"16.6666666666666";"10";"2"
"2003";"Blod";"Enterococcus faecium";"Ampicillin";"Øst";"3";"0";"100";"0";"3"
"2003";"Blod";"Enterococcus faecium";"Ampicillin";"Norge";"43";"53.4883720930232";"46.5116279069767";"23";"20"
"2003";"Blod";"Enterococcus faecium";"Linezolid";"Norge";"43";"0";"100";"0";"43"
"2003";"Blod";"Enterococcus faecium";"Linezolid";"Øst";"3";"0";"100";"0";"3"
"2003";"Blod";"Enterococcus faecium";"Linezolid";"Oslo/Akershus";"6";"0";"100";"0";"6"
"2003";"Blod";"Enterococcus faecium";"Linezolid";"Nord";"11";"0";"100";"0";"11"
"2003";"Blod";"Enterococcus faecium";"Linezolid";"Sør";"11";"0";"100";"0";"11"
"2003";"Blod";"Enterococcus faecium";"Linezolid";"Vest";"12";"0";"100";"0";"12"
"2003";"Blod";"Enterococcus faecium";"Vancomycin";"Sør";"11";"0";"100";"0";"11"
"2003";"Blod";"Enterococcus faecium";"Vancomycin";"Nord";"11";"0";"100";"0";"11"
"2003";"Blod";"Enterococcus faecium";"Vancomycin";"Vest";"12";"8.33333333333333";"91.6666666666666";"1";"11"
"2003";"Blod";"Enterococcus faecium";"Vancomycin";"Øst";"3";"0";"100";"0";"3"
"2003";"Blod";"Enterococcus faecium";"Vancomycin";"Oslo/Akershus";"6";"0";"100";"0";"6"
"2003";"Blod";"Enterococcus faecium";"Vancomycin";"Norge";"43";"2.32558139534883";"97.6744186046511";"1";"42"
"2003";"Blod";"Escherichia coli";"Amoxicillin / Clavulanat";"Norge";"829";"7.35826296743064";"92.6417370325693";"61";"768"
"2003";"Blod";"Escherichia coli";"Amoxicillin / Clavulanat";"Oslo/Akershus";"201";"8.45771144278607";"91.5422885572139";"17";"184"
"2003";"Blod";"Escherichia coli";"Amoxicillin / Clavulanat";"Øst";"134";"4.4776119402985";"95.5223880597015";"6";"128"
"2003";"Blod";"Escherichia coli";"Amoxicillin / Clavulanat";"Sør";"100";"5";"95";"5";"95"
"2003";"Blod";"Escherichia coli";"Amoxicillin / Clavulanat";"Vest";"164";"5.48780487804878";"94.5121951219512";"9";"155"
"2003";"Blod";"Escherichia coli";"Amoxicillin / Clavulanat";"Midt";"128";"12.5";"87.5";"16";"112"
"2003";"Blod";"Escherichia coli";"Amoxicillin / Clavulanat";"Nord";"102";"7.84313725490196";"92.156862745098";"8";"94"
"2003";"Blod";"Escherichia coli";"Ampicillin";"Nord";"102";"26.4705882352941";"73.5294117647058";"27";"75"
"2003";"Blod";"Escherichia coli";"Ampicillin";"Oslo/Akershus";"201";"30.8457711442786";"69.1542288557214";"62";"139"
