ProveAar;Opplegg;Mikrobe;Antibiotika;region;antall;Andel_R;Andel_S_I;antall_R;antall_S_I
2001;Blod;Enterococcus faecalis;Ampicillin;Norge;117;0;100;0;117
2001;Blod;Enterococcus faecalis;Ampicillin;Nord;13;0;100;0;13
2001;Blod;Enterococcus faecalis;Ampicillin;Øst;15;0;100;0;15
2001;Blod;Enterococcus faecalis;Ampicillin;Vest;31;0;100;0;31
2001;Blod;Enterococcus faecalis;Ampicillin;Oslo/Akershus;17;0;100;0;17
2001;Blod;Enterococcus faecalis;Ampicillin;Midt;8;0;100;0;8
2001;Blod;Enterococcus faecalis;Ampicillin;Sør;33;0;100;0;33
2001;Blod;Enterococcus faecalis;Vancomycin;Nord;26;23.07692308;76.92307692;6;20
2001;Blod;Enterococcus faecalis;Vancomycin;Vest;62;4.838709677;95.16129032;3;59
2001;Blod;Enterococcus faecalis;Vancomycin;Oslo/Akershus;34;14.70588235;85.29411765;5;29
2001;Blod;Enterococcus faecalis;Vancomycin;Sør;66;3.03030303;96.96969697;2;64
2001;Blod;Enterococcus faecalis;Vancomycin;Midt;15;0;100;0;15
2001;Blod;Enterococcus faecalis;Vancomycin;Øst;30;3.333333333;96.66666667;1;29
2001;Blod;Enterococcus faecalis;Vancomycin;Norge;233;7.296137339;92.70386266;17;216
2001;Blod;Enterococcus faecium;Ampicillin;Norge;25;32;68;8;17
2001;Blod;Enterococcus faecium;Ampicillin;Øst;3;0;100;0;3
2001;Blod;Enterococcus faecium;Ampicillin;Nord;1;0;100;0;1
2001;Blod;Enterococcus faecium;Ampicillin;Midt;3;66.66666667;33.33333333;2;1
2001;Blod;Enterococcus faecium;Ampicillin;Oslo/Akershus;3;66.66666667;33.33333333;2;1
2001;Blod;Enterococcus faecium;Ampicillin;Sør;6;0;100;0;6
2001;Blod;Enterococcus faecium;Ampicillin;Vest;9;44.44444444;55.55555556;4;5
2001;Blod;Enterococcus faecium;Vancomycin;Øst;6;16.66666667;83.33333333;1;5
2001;Blod;Enterococcus faecium;Vancomycin;Vest;18;0;100;0;18
2001;Blod;Enterococcus faecium;Vancomycin;Oslo/Akershus;6;0;100;0;6
2001;Blod;Enterococcus faecium;Vancomycin;Midt;6;0;100;0;6
2001;Blod;Enterococcus faecium;Vancomycin;Nord;2;0;100;0;2
2001;Blod;Enterococcus faecium;Vancomycin;Sør;12;0;100;0;12
2001;Blod;Enterococcus faecium;Vancomycin;Norge;50;2;98;1;49
2001;Blod;Enterococcus spp.;Ampicillin;Norge;4;25;75;1;3
2001;Blod;Enterococcus spp.;Ampicillin;Vest;3;33.33333333;66.66666667;1;2
2001;Blod;Enterococcus spp.;Ampicillin;Øst;1;0;100;0;1
2001;Blod;Enterococcus spp.;Vancomycin;Øst;2;0;100;0;2
2001;Blod;Enterococcus spp.;Vancomycin;Vest;6;0;100;0;6
2001;Blod;Enterococcus spp.;Vancomycin;Norge;8;0;100;0;8
2001;Blod;Escherichia coli;Ampicillin;Norge;500;29.6;70.4;148;352
2001;Blod;Escherichia coli;Ampicillin;Nord;47;25.53191489;74.46808511;12;35
2001;Blod;Escherichia coli;Ampicillin;Vest;100;34;66;34;66
2001;Blod;Escherichia coli;Ampicillin;Midt;61;37.70491803;62.29508197;23;38
2001;Blod;Escherichia coli;Ampicillin;Oslo/Akershus;82;28.04878049;71.95121951;23;59
2001;Blod;Escherichia coli;Ampicillin;Sør;156;25.64102564;74.35897436;40;116
2001;Blod;Escherichia coli;Ampicillin;Øst;54;29.62962963;70.37037037;16;38
